TRADER,TRADE_COUNT,PERP_TRADE_COUNT,SPOT_TRADE_COUNT,SHORT_COUNT,LONG_COUNT,AVG_USD_TRADE_SIZE,TOTAL_USD_VOLUME,TOTAL_FEE_AMOUNT,DEFI_INTERACTIONS,Cluster
0xb4f24cf7de39104dfa79a8f7630a7be2e7479584,1,0,1,0,1,4.04724875,4.04724875,0.06374874975,0,0
0x903d11b8f01f7fb82d9e3fad41ff43da6c37cf1a,1,0,1,1,0,4.640625,4.640625,0.046875,0,0
0xf8e0ff23d068c0b80d7fd192b6672e20225c2032,1,0,1,1,0,4.788135,4.788135,0.048365,0,0
0xfe860a31a128c7d1fc4db25d0d67905970124652,1,0,1,1,0,8.313385,8.313385,0.257115,0,0
0x7db66467963f3bd1dd09c0e3af1368552e8d1ecc,2,0,2,1,1,5.220862733,10.441725465,0.1044254651,0,0
0x74f36712454f2179bd15dafe98c9ffa0bc56e5b5,1,0,1,0,1,15.311338268,15.311338268,0.09133826765,0,0
0x001e4625f6ac67b37fc6055c915104743b9ecefc,1,0,1,0,1,16.910880176,16.910880176,0.100880176,0,0
0x62e2ede6e9de4f8163e92e9121e71b6cce99864b,1,0,1,0,1,17.564780956,17.564780956,0.1047809562,0,0
0x5c9e9f723e96cd533fa0bff6df9c9a569d90d5d3,1,0,1,0,1,18.057721544,18.057721544,0.1077215443,0,0
0x4f521a2b333c843acfb0822e25d758bcca0eb38f,1,0,1,0,1,18.912822565,18.912822565,0.1128225645,0,0
0xae2adf9a0727e69b6f5105d183e684894a75d39a,1,1,0,0,1,19.300911382,19.300911382,0.07691138228,1,2
0xa3f38e04c9570220d31c4f88ccd52ac79e3a5075,2,1,1,0,2,9.668538188,19.337076375,0.1328763753,0,0
0x65864123f73f0d992ef74b120cc7fa08b5f8a495,1,0,1,0,1,19.546603321,19.546603321,0.1166033207,0,0
0xcb21de5d992c0f1189a08459117fe2d042ec978a,2,0,2,1,1,10.001507502,20.003015004,0.100025004,0,0
0x7414dfe5030c966eb0d80e3ca20d3130db792436,2,0,2,1,1,10.303547657,20.607095314,0.1030453141,0,0
0x1ee8af9faba5956aef5081a490b3b1ba8b6e467e,2,0,2,1,1,11.519362894,23.038725788,0.1606557882,0,0
